Rk,From,To,Tm,Lg,Player,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%,Player URL,
570,2008,2017,TOT,NBA,James Jones,477,38,6594,672,1655,163,411,509,1244,302,366,110,561,671,207,128,99,125,549,2155,.406,.397,.409,.560,.825,.593,/players/j/jonesja02.html,
571,2013,2013,CLE,NBA,Kevin Jones,32,0,334,43,107,43,107,0,0,9,15,38,40,78,10,9,5,8,25,95,.402,.402,,.402,.600,.418,/players/j/joneske01.html,
572,2013,2015,OKC,NBA,Perry Jones,143,21,1675,195,464,159,341,36,123,62,94,46,206,252,54,36,33,60,135,488,.420,.466,.293,.459,.660,.483,/players/j/jonespe01.html,
573,2008,2014,TOT,NBA,Solomon Jones,223,4,2426,236,517,235,509,1,8,177,254,208,310,518,88,47,112,136,430,650,.456,.462,.125,.457,.697,.517,/players/j/jonesso01.html,
574,2013,2017,TOT,NBA,Terrence Jones,232,118,5557,984,1964,891,1653,93,311,368,592,395,935,1330,238,146,270,218,391,2429,.501,.539,.299,.525,.622,.546,/players/j/joneste01.html,
575,2016,2017,MIN,NBA,Tyus Jones,97,0,1347,131,337,89,211,42,126,61,82,17,97,114,264,79,8,71,83,365,.389,.422,.333,.451,.744,.489,/players/j/jonesty01.html,
576,2009,2017,LAC,NBA,DeAndre Jordan,673,561,18621,2487,3674,2486,3663,1,11,1176,2733,2106,4711,6817,440,409,1206,845,1812,6151,.677,.679,.091,.677,.430,.631,/players/j/jordade01.html,
577,2012,2015,TOT,NBA,Jerome Jordan,65,0,491,67,127,67,127,0,0,46,54,66,66,132,17,9,21,24,73,180,.528,.528,,.528,.852,.597,/players/j/jordaje01.html,
578,2012,2017,TOT,NBA,Cory Joseph,364,69,7083,962,2102,847,1739,115,363,440,573,183,638,821,904,232,71,353,501,2479,.458,.487,.317,.485,.768,.527,/players/j/josepco01.html,
579,2013,2013,TOT,NBA,Kris Joseph,10,0,54,2,14,2,11,0,3,5,8,1,6,7,1,3,0,2,3,9,.143,.182,.000,.143,.625,.257,/players/j/josepkr01.html,
580,2008,2016,TOT,NBA,Chris Kaman,437,283,11431,2323,4735,2322,4717,1,18,804,1069,879,2481,3360,605,187,566,951,1055,5451,.491,.492,.056,.491,.752,.524,/players/k/kamanch01.html,
581,2016,2017,CHO,NBA,Frank Kaminsky,156,19,3662,535,1327,351,771,184,556,226,304,126,545,671,260,84,77,134,265,1480,.403,.455,.331,.472,.743,.507,/players/k/kaminfr01.html,
582,2012,2017,TOT,NBA,Enes Kanter,445,114,9479,2040,3852,2008,3745,32,107,919,1196,1185,1812,2997,269,168,197,682,942,5031,.530,.536,.299,.534,.768,.575,/players/k/kanteen01.html,
583,2008,2012,TOT,NBA,Jason Kapono,269,33,4718,658,1486,431,933,227,553,85,106,76,298,374,224,82,12,170,380,1628,.443,.462,.410,.519,.802,.531,/players/k/kaponja01.html,
584,2014,2016,TOT,NBA,Sergey Karasev,95,22,1110,96,243,65,133,31,110,64,76,30,110,140,87,32,4,57,94,287,.395,.489,.282,.459,.842,.519,/players/k/karasse01.html,
585,2008,2010,TOT,NBA,Coby Karl,24,1,184,20,58,14,34,6,24,12,16,7,25,32,24,7,3,15,18,58,.345,.412,.250,.397,.750,.446,/players/k/karlco01.html,
586,2016,2016,CLE,NBA,Sasha Kaun,25,0,95,9,17,9,17,0,0,5,11,12,14,26,3,4,5,7,11,23,.529,.529,,.529,.455,.527,/players/k/kaunsa01.html,
587,2014,2017,TOT,NBA,Ryan Kelly,163,59,3125,324,857,222,534,102,323,231,290,77,427,504,215,79,84,106,309,981,.378,.416,.316,.438,.797,.498,/players/k/kellyry01.html,
588,2012,2012,CLE,NBA,D.J. Kennedy,2,0,59,5,12,3,8,2,4,0,2,1,6,7,3,2,0,3,7,12,.417,.375,.500,.500,.000,.466,/players/k/kennedj01.html,
589,2008,2008,CHI,NBA,Viktor Khryapa,9,0,105,12,31,12,30,0,1,8,14,6,14,20,8,6,0,6,11,32,.387,.400,.000,.387,.571,.431,/players/k/khryavi01.html,
590,2008,2013,TOT,NBA,Jason Kidd,445,417,14748,1312,3360,560,1372,752,1988,430,522,327,2090,2417,3400,782,164,992,802,3806,.390,.408,.378,.502,.824,.530,/players/k/kiddja01.html,
591,2013,2017,TOT,NBA,Michael Kidd-Gilchrist,283,279,7668,1000,2127,993,2093,7,34,575,808,517,1288,1805,369,211,227,288,620,2582,.470,.474,.206,.472,.712,.520,/players/k/kiddgmi01.html,
592,2015,2017,TOT,NBA,Sean Kilpatrick,105,24,2442,435,1025,287,590,148,435,268,313,35,307,342,190,60,8,168,158,1286,.424,.486,.340,.497,.856,.553,/players/k/kilpase01.html,
593,2008,2009,TOT,NBA,Tarence Kinsey,61,3,373,47,107,37,82,10,25,38,44,13,37,50,12,15,0,25,45,142,.439,.451,.400,.486,.864,.562,/players/k/kinseta01.html,
594,2008,2015,TOT,NBA,Andrei Kirilenko,377,247,10655,1394,2863,1232,2362,162,501,1076,1445,540,1225,1765,1060,470,412,631,655,4026,.487,.522,.323,.515,.745,.575,/players/k/kirilan01.html,
595,2015,2015,CLE,NBA,Alex Kirk,5,0,14,1,4,1,4,0,0,2,2,1,0,1,1,0,0,0,1,4,.250,.250,,.250,1.000,.410,/players/k/kirkal01.html,
596,2008,2013,TOT,NBA,Linas Kleiza,269,49,6178,991,2265,689,1345,302,920,466,620,273,815,1088,261,121,46,314,599,2750,.438,.512,.328,.504,.752,.542,/players/k/kleizli01.html,
597,2012,2017,TOT,NBA,Brandon Knight,382,320,11939,2092,5047,1467,3295,625,1752,1011,1245,222,1055,1277,1629,354,70,1018,782,5820,.415,.445,.357,.476,.812,.520,/players/k/knighbr03.html,
598,2008,2009,TOT,NBA,Brevin Knight,148,39,2612,204,531,204,519,0,12,110,135,28,202,230,518,168,15,137,258,518,.384,.393,.000,.384,.815,.439,/players/k/knighbr01.html,
599,2008,2017,TOT,NBA,Kyle Korver,719,317,18915,2423,5325,997,2081,1426,3244,745,845,185,1990,2175,1387,472,265,766,1429,7017,.455,.479,.440,.589,.882,.616,/players/k/korveky01.html,
600,2009,2017,TOT,NBA,Kosta Koufos,573,215,9378,1455,2735,1455,2731,0,4,370,612,997,1806,2803,236,229,456,403,1184,3280,.532,.533,.000,.532,.605,.546,/players/k/koufoko01.html,
601,2013,2014,TOT,NBA,Viacheslav Kravtsov,45,0,283,41,61,41,61,0,0,15,45,33,29,62,10,5,10,20,39,97,.672,.672,,.672,.333,.600,/players/k/kravtvi01.html,
602,2008,2011,TOT,NBA,Nenad Krstic,238,210,5265,826,1719,825,1712,1,7,304,400,378,793,1171,135,88,136,200,586,1957,.481,.482,.143,.481,.760,.516,/players/k/krstine01.html,
603,2009,2009,GSW,NBA,Rob Kurz,40,5,442,51,131,36,93,15,38,40,50,33,48,81,20,14,19,16,78,157,.389,.387,.395,.447,.800,.513,/players/k/kurzro01.html,
604,2014,2015,GSW,NBA,Ognjen Kuzmic,37,0,164,13,25,13,25,0,0,9,15,17,21,38,8,5,5,15,30,35,.520,.520,,.520,.600,.554,/players/k/kuzmiog01.html,
605,2017,2017,NYK,NBA,Mindaugas Kuzminskas,68,5,1016,158,369,104,201,54,168,55,68,47,79,126,69,29,11,51,79,425,.428,.517,.321,.501,.809,.533,/players/k/kuzmimi01.html,
606,2017,2017,SAC,NBA,Skal Labissiere,33,12,612,117,218,114,210,3,8,52,74,51,111,162,27,16,13,37,64,289,.537,.543,.375,.544,.703,.577,/players/l/labissk01.html,
607,2010,2010,BOS,NBA,Oliver Lafayette,1,0,22,3,6,2,4,1,2,0,0,1,3,4,2,0,0,1,0,7,.500,.500,.500,.583,,.583,/players/l/lafayol01.html,
608,2008,2008,POR,NBA,Raef LaFrentz,39,0,291,27,61,27,57,0,4,11,19,28,39,67,6,12,17,10,59,65,.443,.474,.000,.443,.579,.469,/players/l/lafrera01.html,
609,2013,2014,TOT,NBA,Doron Lamb,100,0,1272,123,323,73,196,50,127,49,70,16,79,95,75,24,1,53,106,345,.381,.372,.394,.458,.700,.488,/players/l/lambdo01.html,
610,2013,2017,TOT,NBA,Jeremy Lamb,276,13,4688,847,1928,615,1213,232,715,288,350,114,716,830,316,148,87,184,411,2214,.439,.507,.324,.499,.823,.532,/players/l/lambje01.html,
611,2008,2016,TOT,NBA,Carl Landry,513,93,11524,2086,3898,2077,3868,9,30,1360,1732,994,1539,2533,355,216,203,603,1208,5541,.535,.537,.300,.536,.785,.595,/players/l/landrca01.html,
612,2010,2010,TOT,NBA,Marcus Landry,18,0,111,16,43,7,15,9,28,3,5,5,14,19,0,1,2,6,14,44,.372,.467,.321,.477,.600,.487,/players/l/landrma01.html,
613,2008,2008,SAS,NBA,Keith Langford,2,0,10,1,4,1,4,0,0,0,0,0,2,2,0,0,0,0,1,2,.250,.250,,.250,,.250,/players/l/langfke01.html,
614,2017,2017,SAS,NBA,Nicolas Laprovittola,18,3,174,20,47,10,20,10,27,9,9,1,9,10,28,4,1,19,19,59,.426,.500,.370,.532,1.000,.579,/players/l/laproni01.html,
615,2014,2016,TOT,NBA,Shane Larkin,202,39,4105,461,1071,375,809,86,262,160,210,68,330,398,639,214,22,268,317,1168,.430,.464,.328,.471,.762,.502,/players/l/larkish01.html,
616,2008,2008,TOT,NBA,Stephane Lasme,16,4,303,32,71,32,71,0,0,19,32,26,27,53,3,13,22,15,35,83,.451,.451,,.451,.594,.488,/players/l/lasmest01.html,
617,2015,2017,TOT,NBA,Joffrey Lauvergne,153,17,2289,379,805,330,638,49,167,126,170,176,442,618,139,46,31,132,241,933,.471,.517,.293,.501,.741,.530,/players/l/lauvejo01.html,
618,2015,2017,MIN,NBA,Zach LaVine,206,120,5945,1045,2346,745,1553,300,793,427,520,73,529,602,666,164,37,433,455,2817,.445,.480,.378,.509,.821,.547,/players/l/lavinza01.html,
619,2008,2011,TOT,NBA,Acie Law,188,8,2385,263,637,236,522,27,115,172,221,33,162,195,309,83,4,145,193,725,.413,.452,.235,.434,.778,.494,/players/l/lawac01.html,
620,2011,2011,PHO,NBA,Gani Lawal,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,/players/l/lawalga01.html,
621,2010,2017,TOT,NBA,Ty Lawson,551,344,16088,2496,5424,2023,4105,473,1319,1512,1964,351,1155,1506,3316,636,52,1159,898,6977,.460,.493,.359,.504,.770,.555,/players/l/lawsoty01.html,
622,2017,2017,POR,NBA,Jake Layman,35,1,249,26,89,13,38,13,51,13,17,6,18,24,11,9,3,11,22,78,.292,.342,.255,.365,.765,.404,/players/l/laymaja01.html,
623,2014,2015,TOT,NBA,Ricky Ledo,28,0,277,38,113,25,78,13,35,20,26,16,22,38,21,7,1,28,23,109,.336,.321,.371,.394,.769,.438,/players/l/ledori01.html,
624,2009,2017,TOT,NBA,Courtney Lee,677,434,18855,2525,5601,1799,3722,726,1879,833,982,318,1499,1817,1124,690,187,653,1165,6609,.451,.483,.386,.516,.848,.548,/players/l/leeco01.html,
625,2008,2017,TOT,NBA,David Lee,704,479,21433,4210,7936,4209,7907,1,29,1845,2370,1845,4570,6415,1678,547,286,1311,1891,10266,.530,.532,.034,.531,.778,.572,/players/l/leeda02.html,
626,2012,2015,TOT,NBA,Malcolm Lee,36,12,534,52,136,42,102,10,34,26,37,24,41,65,51,20,10,27,52,140,.382,.412,.294,.419,.703,.460,/players/l/leema01.html,
627,2014,2017,PHO,NBA,Alex Len,266,127,5261,706,1518,701,1496,5,22,417,582,515,1142,1657,177,114,283,347,753,1834,.465,.469,.227,.467,.716,.517,/players/l/lenal01.html,
628,2012,2017,SAS,NBA,Kawhi Leonard,398,371,12154,2377,4799,1859,3464,518,1335,1236,1459,503,1966,2469,903,705,280,542,697,6508,.495,.537,.388,.549,.847,.598,/players/l/leonaka01.html,
629,2013,2017,POR,NBA,Meyers Leonard,299,38,4963,658,1426,448,860,210,566,188,228,230,937,1167,246,49,103,215,712,1714,.461,.521,.371,.535,.825,.561,/players/l/leoname01.html,
630,2012,2012,LAC,NBA,Travis Leslie,10,0,45,5,14,5,14,0,0,4,9,6,3,9,5,2,2,2,4,14,.357,.357,,.357,.444,.390,/players/l/leslitr01.html,
631,2012,2017,TOT,NBA,Jon Leuer,328,79,5407,898,1874,774,1507,124,367,276,361,323,974,1297,282,124,95,229,507,2196,.479,.514,.338,.512,.765,.540,/players/l/leuerjo01.html,
632,2017,2017,BRK,NBA,Caris LeVert,57,26,1237,171,380,112,196,59,184,67,93,23,165,188,110,49,8,59,91,468,.450,.571,.321,.528,.720,.556,/players/l/leverca01.html,
633,2008,2014,TOT,NBA,Rashard Lewis,432,314,12620,1882,4317,1068,2211,814,2106,750,920,399,1439,1838,714,407,179,593,953,5328,.436,.483,.387,.530,.815,.564,/players/l/lewisra02.html,
634,2012,2017,TOT,NBA,DeAndre Liggins,119,20,1183,89,215,65,146,24,69,43,77,40,137,177,74,71,17,66,120,245,.414,.445,.348,.470,.558,.492,/players/l/liggide01.html,
635,2013,2017,POR,NBA,Damian Lillard,396,396,14399,2975,6914,1933,4096,1042,2818,1888,2154,217,1376,1593,2447,368,110,1097,850,8880,.430,.472,.370,.506,.877,.565,/players/l/lillada01.html,
636,2011,2017,TOT,NBA,Jeremy Lin,405,216,10757,1642,3796,1249,2672,393,1124,1165,1449,175,984,1159,1807,472,162,958,913,4842,.433,.467,.350,.484,.804,.546,/players/l/linje01.html,
637,2009,2017,TOT,NBA,Shaun Livingston,553,124,11142,1422,2853,1415,2813,7,40,651,795,298,987,1285,1531,383,191,644,930,3502,.498,.503,.175,.500,.819,.547,/players/l/livinsh01.html,
638,2017,2017,PHI,NBA,Shawn Long,18,0,234,61,109,54,90,7,19,19,35,41,44,85,13,9,9,13,49,148,.560,.600,.368,.592,.543,.595,/players/l/longsh01.html,
639,2016,2017,GSW,NBA,Kevon Looney,58,4,468,60,114,57,103,3,11,21,34,48,86,134,29,15,17,18,66,144,.526,.553,.273,.539,.618,.558,/players/l/looneke01.html,
640,2009,2017,TOT,NBA,Brook Lopez,562,527,18118,4044,7998,3907,7580,137,418,2219,2795,1486,2519,4005,867,328,972,1155,1573,10444,.506,.515,.328,.514,.794,.566,/players/l/lopezbr01.html,
641,2009,2017,TOT,NBA,Robin Lopez,628,480,14353,2257,4291,2257,4285,0,6,969,1274,1582,1887,3469,429,164,796,651,1303,5483,.526,.527,.000,.526,.761,.565,/players/l/lopezro01.html,
642,2009,2017,TOT,NBA,Kevin Love,576,494,18774,3510,7934,2623,5499,887,2435,2686,3276,1784,4828,6612,1368,404,274,1139,1235,10593,.442,.477,.364,.498,.820,.565,/players/l/loveke01.html,
643,2008,2017,TOT,NBA,Kyle Lowry,703,477,21883,3259,7674,2125,4561,1134,3113,2454,3075,585,2292,2877,4091,966,190,1570,1922,10106,.425,.466,.364,.499,.798,.560,/players/l/lowryky01.html,
644,2011,2017,TOT,NBA,John Lucas III,182,8,2437,378,993,232,587,146,406,61,80,46,150,196,317,66,2,106,151,963,.381,.395,.360,.454,.763,.468,/players/l/lucasjo02.html,
645,2015,2015,MEM,NBA,Kalin Lucas,1,0,6,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,.000,.000,,.000,,.000,/players/l/lucaska01.html,
646,2008,2009,TOT,NBA,Tyronn Lue,94,3,1257,184,415,118,267,66,148,39,51,15,85,100,134,19,1,50,120,473,.443,.442,.446,.523,.765,.541,/players/l/luety01.html,
647,2017,2017,PHI,NBA,Timothe Luwawu-Cabarrot,69,19,1190,145,361,95,200,50,161,105,123,25,124,149,75,32,10,73,154,445,.402,.475,.311,.471,.854,.536,/players/l/luwawti01.html,
648,2016,2017,UTA,NBA,Trey Lyles,151,37,2540,350,875,236,543,114,332,114,161,107,427,534,128,52,38,129,211,928,.400,.435,.343,.465,.708,.491,/players/l/lylestr01.html,
649,2017,2017,WAS,NBA,Sheldon Mac,30,3,287,30,75,23,45,7,30,23,27,4,30,34,15,8,2,5,17,90,.400,.511,.233,.447,.852,.518,/players/m/mcclesh01.html,
650,2013,2013,HOU,NBA,Scott Machado,6,0,21,3,6,3,5,0,1,2,2,0,1,1,6,2,0,8,0,8,.500,.600,.000,.500,1.000,.581,/players/m/machasc01.html,
651,2012,2017,TOT,NBA,Shelvin Mack,330,50,5781,824,1935,616,1288,208,647,238,318,77,547,624,966,199,12,405,393,2094,.426,.478,.321,.480,.748,.505,/players/m/macksh01.html,
652,2012,2012,DET,NBA,Vernon Macklin,23,0,135,19,35,19,35,0,0,8,14,14,20,34,5,4,4,3,9,46,.543,.543,,.543,.571,.559,/players/m/macklve01.html,
653,2008,2009,MIN,NBA,Mark Madsen,39,7,267,6,33,6,33,0,0,3,16,28,28,56,8,4,3,12,43,15,.182,.182,,.182,.188,.187,/players/m/madsema01.html,
654,2008,2013,TOT,NBA,Corey Maggette,308,179,8710,1626,3528,1454,3015,172,513,1840,2228,289,1151,1440,595,216,27,686,933,5264,.461,.482,.335,.485,.826,.584,/players/m/maggeco01.html,
655,2008,2012,TOT,NBA,Jamaal Magloire,174,15,1886,141,309,141,309,0,0,86,208,184,422,606,39,29,58,106,322,368,.456,.456,,.456,.413,.459,/players/m/magloja01.html,
656,2008,2017,TOT,NBA,Ian Mahinmi,469,92,7902,912,1692,912,1686,0,6,597,1003,676,1371,2047,230,263,341,435,1207,2421,.539,.541,.000,.539,.595,.567,/players/m/mahinia01.html,
657,2017,2017,MIL,NBA,Thon Maker,57,34,562,83,181,55,107,28,74,32,49,40,74,114,23,10,26,17,84,226,.459,.514,.378,.536,.653,.558,/players/m/makerth01.html,
658,2015,2016,ORL,NBA,Devyn Marble,44,7,457,35,115,23,61,12,54,15,40,11,58,69,29,22,3,16,39,97,.304,.377,.222,.357,.375,.366,/players/m/marblde01.html,
659,2008,2009,TOT,NBA,Stephon Marbury,47,23,1219,149,376,115,277,34,99,89,129,19,68,87,188,31,5,85,91,421,.396,.415,.343,.441,.690,.486,/players/m/marbust01.html,
660,2008,2015,TOT,NBA,Shawn Marion,550,462,16862,2714,5498,2517,4846,197,652,684,893,1129,2820,3949,964,609,409,749,948,6309,.494,.519,.302,.512,.766,.535,/players/m/mariosh01.html,
661,2016,2017,TOT,NBA,Boban Marjanovic,89,4,801,177,306,177,306,0,0,134,172,119,205,324,30,18,35,39,79,488,.578,.578,,.578,.779,.639,/players/m/marjabo01.html,
662,2008,2011,TOT,NBA,Sean Marks,122,5,1251,126,260,121,244,5,16,49,76,101,185,286,24,13,51,56,205,306,.485,.496,.313,.494,.645,.521,/players/m/marksse01.html,
663,2008,2009,TOT,NBA,Donyell Marshall,51,1,529,65,171,25,63,40,108,22,28,30,86,116,25,10,21,21,55,192,.380,.397,.370,.497,.786,.524,/players/m/marshdo01.html,
664,2013,2016,TOT,NBA,Kendall Marshall,160,57,3083,315,789,187,443,128,346,44,72,23,230,253,779,107,10,285,180,802,.399,.422,.370,.480,.611,.489,/players/m/marshke01.html,
665,2009,2015,TOT,NBA,Cartier Martin,243,15,3351,430,1098,212,512,218,586,151,207,88,375,463,121,97,27,128,317,1229,.392,.414,.372,.491,.729,.517,/players/m/martica01.html,
666,2008,2008,TOR,NBA,Darrick Martin,17,0,141,10,43,8,27,2,16,5,6,3,4,7,21,6,0,1,12,27,.233,.296,.125,.256,.833,.296,/players/m/martida01.html,
667,2016,2017,MEM,NBA,Jarell Martin,69,3,938,112,267,103,240,9,27,85,112,81,167,248,23,25,16,47,149,318,.419,.429,.333,.436,.759,.503,/players/m/martija01.html,
668,2008,2015,TOT,NBA,Kenyon Martin,346,269,9597,1387,2787,1358,2686,29,101,427,763,520,1608,2128,521,389,348,422,1023,3230,.498,.506,.287,.503,.560,.517,/players/m/martike01.html,
669,2008,2016,TOT,NBA,Kevin Martin,517,383,16373,3035,7067,2092,4635,943,2432,2856,3244,245,1372,1617,1060,474,55,960,1007,9869,.429,.451,.388,.496,.880,.581,/players/m/martike02.html,
670,2008,2010,TOT,NBA,Desmond Mason,103,79,2832,359,774,359,771,0,3,163,262,120,306,426,169,56,61,143,207,881,.464,.466,.000,.464,.622,.495,/players/m/masonde01.html,
671,2008,2014,TOT,NBA,Roger Mason,413,100,8214,1094,2625,552,1235,542,1390,268,310,68,741,809,604,161,63,326,587,2998,.417,.447,.390,.520,.865,.543,/players/m/masonro01.html,
672,2010,2017,TOT,NBA,Wesley Matthews,592,532,19357,2825,6577,1573,3312,1252,3265,1355,1637,323,1549,1872,1272,660,113,784,1315,8257,.430,.475,.383,.525,.828,.566,/players/m/matthwe02.html,
673,2008,2015,TOT,NBA,Jason Maxiell,525,180,10277,1244,2507,1244,2502,0,5,599,1035,948,1414,2362,249,196,425,423,1073,3087,.496,.497,.000,.496,.579,.521,/players/m/maxieja01.html,
674,2009,2010,TOT,NBA,Sean May,61,16,632,90,209,89,204,1,5,35,52,40,99,139,27,17,11,45,78,216,.431,.436,.200,.433,.673,.466,/players/m/mayse01.html,
675,2010,2014,TOT,NBA,Eric Maynor,267,2,3896,440,1122,329,805,111,317,150,208,67,281,348,760,111,20,281,296,1141,.392,.409,.350,.442,.721,.470,/players/m/maynoer01.html,
676,2009,2016,TOT,NBA,O.J. Mayo,547,325,16919,2808,6547,1954,4260,854,2287,1104,1346,285,1421,1706,1607,559,141,1130,1239,7574,.429,.459,.373,.494,.820,.530,/players/m/mayooj01.html,
677,2009,2017,TOT,NBA,Luc Mbah a Moute,621,438,14388,1509,3340,1367,2902,142,438,735,1116,937,1668,2605,531,537,237,575,1134,3895,.452,.471,.324,.473,.659,.508,/players/m/mbahalu01.html,
678,2015,2017,GSW,NBA,James Michael McAdoo,108,3,856,131,245,128,235,3,10,61,116,79,107,186,37,33,46,41,107,326,.535,.545,.300,.541,.526,.551,/players/m/mcadoja01.html,
679,2014,2016,TOT,NBA,Ray McCallum,154,46,2808,374,916,303,704,71,212,101,142,78,228,306,368,79,27,148,190,920,.408,.430,.335,.447,.711,.470,/players/m/mccalra01.html,
680,2008,2009,TOT,NBA,Rashad McCants,133,27,3121,620,1432,415,894,205,538,223,296,71,245,316,230,113,32,236,337,1668,.433,.464,.381,.505,.753,.534,/players/m/mccanra01.html,
681,2017,2017,GSW,NBA,Patrick McCaw,71,20,1074,106,245,65,122,41,123,29,37,21,79,100,77,32,15,36,62,282,.433,.533,.333,.516,.784,.540,/players/m/mccawpa01.html,
682,2014,2017,POR,NBA,C.J. McCollum,260,163,7025,1566,3415,1099,2285,467,1130,529,627,128,559,687,717,226,75,451,523,4128,.459,.481,.413,.527,.844,.559,/players/m/mccolcj01.html,
683,2016,2017,PHI,NBA,T.J. McConnell,162,68,3739,454,976,412,832,42,144,99,131,82,419,501,901,229,20,299,253,1049,.465,.495,.292,.487,.756,.507,/players/m/mccontj01.html,
684,2008,2008,DEN,NBA,Jelani McCoy,6,1,33,1,1,1,1,0,0,1,2,1,6,7,0,0,5,4,7,3,1.000,1.000,,1.000,.500,.798,/players/m/mccoyje01.html,
685,2016,2017,TOT,NBA,Chris McCullough,40,4,442,60,141,46,100,14,41,14,28,34,53,87,11,30,14,18,46,148,.426,.460,.341,.475,.500,.483,/players/m/mcculch01.html,
686,2015,2017,TOT,NBA,K.J. McDaniels,148,16,2092,278,675,208,434,70,241,156,201,96,228,324,95,70,94,151,205,782,.412,.479,.290,.464,.776,.512,/players/m/mcdankj01.html,
687,2015,2017,TOT,NBA,Doug McDermott,183,9,3690,556,1248,356,740,200,508,153,183,63,354,417,123,31,12,108,235,1465,.446,.481,.394,.526,.836,.551,/players/m/mcderdo01.html,
688,2008,2011,TOT,NBA,Antonio McDyess,290,174,7155,935,1897,935,1892,0,5,245,376,660,1463,2123,339,181,174,277,747,2115,.493,.494,.000,.493,.652,.513,/players/m/mcdyean01.html,
689,2015,2016,OKC,NBA,Mitch McGary,52,2,557,99,188,99,182,0,6,29,50,57,126,183,17,17,18,38,82,227,.527,.544,.000,.527,.580,.540,/players/m/mcgarmi01.html,
690,2009,2017,TOT,NBA,JaVale McGee,493,170,8716,1633,2947,1632,2938,1,9,599,1042,933,1551,2484,155,182,778,478,1063,3866,.554,.555,.111,.554,.575,.568,/players/m/mcgeeja01.html,
691,2008,2012,TOT,NBA,Tracy McGrady,255,160,6817,1155,2772,964,2175,191,597,563,789,156,836,992,1023,207,108,428,305,3064,.417,.443,.320,.451,.714,.491,/players/m/mcgratr01.html,
692,2017,2017,MIA,NBA,Rodney McGruder,78,65,1966,190,460,117,240,73,220,44,71,94,162,256,124,46,18,56,140,497,.413,.488,.332,.492,.620,.506,/players/m/mcgruro01.html,
693,2008,2013,TOT,NBA,Dominic McGuire,342,84,5348,388,927,385,911,3,16,160,243,344,825,1169,422,154,184,242,501,939,.419,.423,.188,.420,.658,.454,/players/m/mcguido01.html,
694,2008,2008,CHA,NBA,Jeff McInnis,54,26,1410,108,249,105,230,3,19,23,30,16,80,96,220,23,3,76,120,242,.434,.457,.158,.440,.767,.461,/players/m/mcinnje01.html,
695,2014,2017,SAC,NBA,Ben McLemore,293,216,7476,993,2384,626,1341,367,1043,389,499,137,616,753,352,203,53,395,668,2742,.417,.467,.352,.493,.780,.527,/players/m/mclembe01.html,
696,2015,2015,PHO,NBA,Jerel McNeal,6,0,36,3,11,2,9,1,2,2,2,0,3,3,2,3,1,5,5,9,.273,.222,.500,.318,1.000,.379,/players/m/mcneaje01.html,
697,2016,2017,TOT,NBA,Jordan McRae,59,5,579,92,228,64,155,28,73,48,62,10,51,61,44,11,7,29,48,260,.404,.413,.384,.465,.774,.509,/players/m/mcraejo01.html,
698,2008,2017,TOT,NBA,Josh McRoberts,431,179,8265,914,1971,718,1396,196,575,309,438,468,1218,1686,901,222,194,381,815,2333,.464,.514,.341,.513,.705,.539,/players/m/mcrobjo01.html,
699,2010,2017,TOT,NBA,Jodie Meeks,454,204,10887,1487,3537,792,1687,695,1850,781,886,132,850,982,505,383,31,371,572,4450,.420,.469,.376,.519,.881,.567,/players/m/meeksjo01.html,
700,2016,2017,DAL,NBA,Salah Mejri,107,17,1302,137,215,136,211,1,4,63,107,138,293,431,24,40,97,63,206,338,.637,.645,.250,.640,.589,.645,/players/m/mejrisa01.html,
701,2014,2015,TOT,NBA,Gal Mekel,35,1,335,33,106,28,83,5,23,8,12,5,23,28,76,6,1,33,32,79,.311,.337,.217,.335,.667,.355,/players/m/mekelga01.html,
702,2013,2013,BOS,NBA,Fab Melo,6,0,36,3,6,3,6,0,0,1,4,0,3,3,0,2,2,1,7,7,.500,.500,,.500,.250,.451,/players/m/melofa01.html,
703,2009,2011,TOT,NBA,Pops Mensah-Bonsu,49,0,438,53,139,53,137,0,2,46,72,74,85,159,11,13,14,31,74,152,.381,.387,.000,.381,.639,.445,/players/m/mensapo01.html,
704,2016,2017,BOS,NBA,Jordan Mickey,41,1,198,23,56,23,55,0,1,13,24,19,28,47,8,3,17,10,17,59,.411,.418,.000,.411,.542,.443,/players/m/mickejo01.html,
705,2013,2017,TOT,NBA,Khris Middleton,296,224,9054,1501,3339,1070,2271,431,1068,637,729,167,965,1132,809,392,61,492,762,4070,.450,.471,.404,.514,.874,.556,/players/m/middlkh01.html,
706,2008,2009,LAL,NBA,Chris Mihm,41,5,383,47,135,47,135,0,0,24,34,43,68,111,23,5,20,27,65,118,.348,.348,,.348,.706,.393,/players/m/mihmch01.html,
707,2008,2017,TOT,NBA,C.J. Miles,655,286,14352,2457,5855,1461,3112,996,2743,916,1128,299,1380,1679,770,510,208,614,1484,6826,.420,.469,.363,.505,.812,.537,/players/m/milescj01.html,
